date,discharge_cfs
2011-08-18,2450
2011-08-19,3140
2011-08-20,2630
2011-08-21,2460
2011-08-22,2210
2011-08-23,1830
2011-08-24,1690
2011-08-25,1790
2011-08-26,1760
2011-08-27,1910
2011-08-28,3680
2011-08-29,2860
2011-08-30,2690
2011-08-31,2460
2011-09-01,2120
2011-09-02,1950
2011-09-03,1880
2011-09-04,2120
2011-09-05,1970
2011-09-06,5130
2011-09-07,8000
2011-09-08,54400
2011-09-09,73500
2011-09-10,34100
2011-09-11,33600
2011-09-12,21800
2011-09-13,14400
2011-09-14,11200
2011-09-15,9630
2011-09-16,10300
2011-09-17,12500
2011-09-18,9550
2011-09-19,7480
2011-09-20,6400
2011-09-21,5680
2011-09-22,6160
2011-09-23,10800
2011-09-24,11800
2011-09-25,11500
2011-09-26,6560
2011-09-27,5640
2011-09-28,10600
2011-09-29,13900
2011-09-30,18000
2011-10-01,13800
2011-10-02,12500
2011-10-03,13000
2011-10-04,16200
2011-10-05,15500
2011-10-06,13100
2011-10-07,10800
2011-10-08,9020
2011-10-09,7690
2011-10-10,6700
2011-10-11,5890
2011-10-12,5500
2011-10-13,8060
2011-10-14,15400
2011-10-15,14300
2011-10-16,14500
2011-10-17,16100
2011-10-18,14000
2011-10-19,12400
2011-10-20,16100
2011-10-21,15700
2011-10-22,11700
2011-10-23,10000
2011-10-24,8790
2011-10-25,7990
2011-10-26,7370
2011-10-27,7030
2011-10-28,6640
2011-10-29,7610
2011-10-30,10500
2011-10-31,11200
2011-11-01,12800
2011-11-02,13400
2011-11-03,13100
2011-11-04,12200
2011-11-05,11300
2011-11-06,10600
2011-11-07,9720
2011-11-08,9020
2011-11-09,8470
2011-11-10,8020
2011-11-11,7560
2011-11-12,7020
2011-11-13,6600
2011-11-14,6160
2011-11-15,5840
2011-11-16,5760
2011-11-17,6640
2011-11-18,8610
2011-11-19,11400
2011-11-20,11400
2011-11-21,10300
2011-11-22,10400
2011-11-23,27100
2011-11-24,74000
2011-11-25,53700
2011-11-26,35000
2011-11-27,26400
2011-11-28,21600
2011-11-29,18900
2011-11-30,19200
2011-12-01,21500
2011-12-02,28900
2011-12-03,24200
2011-12-04,19300
2011-12-05,16400
2011-12-06,14500
2011-12-07,16900
2011-12-08,36400
2011-12-09,80800
2011-12-10,68900
2011-12-11,43300
2011-12-12,31700
2011-12-13,25300
2011-12-14,21300
2011-12-15,18700
2011-12-16,17100
2011-12-17,15400
2011-12-18,13800
2011-12-19,12500
2011-12-20,11600
2011-12-21,11000
2011-12-22,10500
2011-12-23,15200
2011-12-24,15600
2011-12-25,14400
2011-12-26,16800
2011-12-27,16700
2011-12-28,20400
2011-12-29,21100
2011-12-30,20000
2011-12-31,18300
2012-01-01,16400
2012-01-02,15100
2012-01-03,13800
2012-01-04,12600
2012-01-05,11600
2012-01-06,10800
2012-01-07,10400
2012-01-08,10000
2012-01-09,9550
2012-01-10,9060
2012-01-11,8730
2012-01-12,12800
2012-01-13,18600
2012-01-14,35600
2012-01-15,36500
2012-01-16,28600
2012-01-17,22900
2012-01-18,19900
2012-01-19,18200
2012-01-20,17600
2012-01-21,16600
2012-01-22,15100
2012-01-23,13900
2012-01-24,13400
2012-01-25,13800
2012-01-26,15200
2012-01-27,15700
2012-01-28,19400
2012-01-29,21100
2012-01-30,19000
2012-01-31,17100
2012-02-01,15500
2012-02-02,14300
2012-02-03,13300
2012-02-04,12300
2012-02-05,11700
2012-02-06,11500
2012-02-07,11200
2012-02-08,11100
2012-02-09,10700
2012-02-10,10200
2012-02-11,9990
2012-02-12,9870
2012-02-13,9410
2012-02-14,8980
2012-02-15,8450
2012-02-16,8210
2012-02-17,8350
2012-02-18,8320
2012-02-19,8390
2012-02-20,8360
2012-02-21,8310
2012-02-22,8210
2012-02-23,8080
2012-02-24,8060
2012-02-25,8290
2012-02-26,8290
2012-02-27,8500
2012-02-28,8560
2012-02-29,9760
2012-03-01,17800
2012-03-02,45500
2012-03-03,55900
2012-03-04,45100
2012-03-05,41500
2012-03-06,34500
2012-03-07,27700
2012-03-08,23500
2012-03-09,19700
2012-03-10,17100
2012-03-11,15200
2012-03-12,13600
2012-03-13,12300
2012-03-14,11600
2012-03-15,10800
2012-03-16,10200
2012-03-17,9650
2012-03-18,9090
2012-03-19,8620
2012-03-20,8520
